Epoch Train_Loss Validation_Loss
727 6.756 6.821
728 6.799 6.846
729 6.833 6.697
730 6.700 6.799
731 6.746 6.708
732 6.843 6.755
733 6.801 6.749
734 6.817 6.795
735 6.802 6.777
736 6.936 6.805
737 6.831 6.782
738 6.731 6.832
739 6.891 6.776
740 6.859 6.731
741 6.799 6.767
742 6.934 6.861
743 6.852 6.859
744 6.951 6.832
745 6.913 6.719
746 6.831 6.830
747 6.820 6.815
748 6.684 6.730
749 6.976 6.765
750 6.844 6.809
751 6.691 6.789
752 6.785 6.743
753 6.875 6.821
754 6.780 6.743
755 6.763 6.718
756 6.812 6.695
757 6.934 6.872
758 6.953 6.701
759 6.966 6.682
760 6.651 6.722
761 6.887 6.838
762 6.886 6.749
763 6.776 6.786
764 6.965 6.768
765 6.947 6.752
766 6.866 6.847
767 6.831 6.796
768 6.911 6.825
769 6.870 6.794
770 6.626 6.741
771 6.711 6.703
772 6.628 6.775
773 6.838 6.783
774 6.683 6.781
775 6.801 6.934
776 6.850 6.885
777 6.716 6.727
778 6.881 6.658
779 6.822 6.643
780 6.670 6.681
781 6.815 6.812
782 6.953 6.838
783 6.664 6.680
784 6.620 6.724
785 6.836 6.689
786 6.698 6.739
787 6.775 6.733
788 6.770 6.724
789 6.776 6.746
790 6.813 6.764
791 6.784 6.806
792 6.834 6.762
793 6.720 6.675
794 6.879 6.942
795 6.853 6.660
796 6.688 6.794
797 6.810 6.803
798 6.765 6.783
799 6.801 6.821
800 6.776 6.739
801 6.743 6.688
802 6.649 6.733
803 6.702 6.797
804 6.852 6.717
805 6.737 6.735
806 6.707 6.682
807 6.743 6.808
808 6.667 6.653
809 6.783 6.946
810 6.831 6.657
811 6.725 6.844
812 6.798 6.646
813 6.714 6.676
814 6.721 6.843
815 6.688 6.902
816 6.748 6.688
817 6.839 6.816
818 6.607 6.818
819 6.693 6.820
820 6.729 6.787
821 6.828 6.838
822 6.723 6.802
823 6.643 6.808
824 6.678 6.749
825 6.737 6.724
826 6.765 6.736
827 6.752 6.605
828 6.815 6.677
829 6.791 6.765
830 6.861 6.779
831 6.855 6.863
832 6.614 6.752
833 6.553 6.740
834 6.821 6.811
835 6.738 6.614
836 6.775 6.721
837 6.703 6.685
838 6.645 6.721
839 6.730 6.771
840 6.819 6.715
841 6.690 6.841
842 6.648 6.709
843 6.912 6.682
844 6.701 6.715
845 6.773 6.715
846 6.775 6.671
847 6.804 6.719
848 6.650 6.694
849 6.671 6.691
850 6.895 6.643
851 6.575 6.682
852 6.771 6.793
853 6.801 6.803
854 6.705 6.654
855 6.687 6.754
856 6.833 6.658
857 6.531 6.720
858 6.753 6.720
859 6.610 6.728
860 6.972 6.634
861 6.734 6.640
862 6.702 6.721
863 6.755 6.734
864 6.783 6.684
865 6.662 6.830
866 6.663 6.651
867 6.673 6.666
868 6.725 6.730
869 6.748 6.756
870 6.736 6.673
871 6.672 6.658
872 6.755 6.780
873 6.537 6.756
874 6.774 6.702
875 6.776 6.683
876 6.665 6.733
877 6.556 6.739
878 6.625 6.633
879 6.697 6.693
880 6.641 6.714
881 6.652 6.707
882 6.647 6.735
883 6.766 6.847
884 6.706 6.736
885 6.701 6.745
886 6.655 6.728
887 6.593 6.671
888 6.770 6.704
889 6.813 6.729
890 6.589 6.768
891 6.738 6.685
892 6.614 6.859
893 6.611 6.677
894 6.717 6.671
895 6.680 6.763
896 6.692 6.703
897 6.609 6.822
898 6.679 6.706
899 6.662 6.774
900 6.719 6.800
901 6.676 6.689
902 6.778 6.789
903 6.633 6.748
904 6.657 6.618
905 6.616 6.758
906 6.683 6.718
907 6.603 6.641
908 6.668 6.667
909 6.632 6.667
910 6.640 6.781
911 6.707 6.758
912 6.804 6.734
913 6.702 6.707
914 6.615 6.760
915 6.481 6.769
916 6.789 6.802
917 6.593 6.777
918 6.576 6.735
919 6.616 6.664
920 6.537 6.790
921 6.670 6.851
922 6.726 6.755
923 6.578 6.694
924 6.542 6.699
925 6.555 6.751
926 6.653 6.705
927 6.752 6.679
928 6.736 6.677
929 6.618 6.621
930 6.582 6.690
931 6.616 6.705
932 6.627 6.820
933 6.611 6.723
934 6.673 6.610
935 6.582 6.670
936 6.657 6.680
937 6.756 6.694
938 6.710 6.676
939 6.679 6.700
940 6.595 6.790
941 6.705 6.792
942 6.474 6.760
943 6.710 6.662
944 6.717 6.713
945 6.539 6.671
946 6.501 6.654
947 6.575 6.733
948 6.591 6.710
949 6.659 6.715
950 6.592 6.759
951 6.607 6.694
952 6.674 6.702
953 6.629 6.712
954 6.664 6.583
955 6.642 6.647
956 6.521 6.639
957 6.566 6.648
958 6.699 6.701
959 6.665 6.695
960 6.628 6.621
961 6.623 6.685
962 6.663 6.577
963 6.671 6.603
964 6.655 6.644
965 6.558 6.640
966 6.459 6.658
967 6.721 6.640
968 6.581 6.671
969 6.488 6.666
970 6.587 6.594
971 6.580 6.666
972 6.646 6.706
973 6.645 6.606
974 6.615 6.711
975 6.539 6.657
976 6.488 6.696
977 6.616 6.641
978 6.649 6.638
979 6.628 6.721
980 6.537 6.684
981 6.637 6.622
982 6.527 6.671
983 6.614 6.609
984 6.513 6.632
985 6.561 6.749
986 6.470 6.665
987 6.655 6.687
988 6.542 6.634
989 6.588 6.694
990 6.500 6.751
991 6.512 6.648
992 6.528 6.624
